Year,Gender,Sleep_Difficulty,Avg_Sleep_Hours,Wake_Frequency,Sleep_Quality,Concentration_Issue,Daytime_Fatigue,Missed_Classes,Sleep_Impact_Assignments,Device_Use_Before_Sleep,Caffeine_Use,Physical_Activity,Academic_Stress,Academic_Performance
Graduate student,Male,Often,7-8 hours,Often,Good,Sometimes,Often,Often,Moderate impact,Often,Rarely,Sometimes,High stress,Average
Third year,Male,Often,7-8 hours,Often,Good,Often,Sometimes,Sometimes,Major impact,Sometimes,Sometimes,Sometimes,Low stress,Good
First year,Female,Sometimes,7-8 hours,Sometimes,Good,Often,Often,Sometimes,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,More than 8 hours,Sometimes,Poor,Often,Often,Rarely,Minor impact,Sometimes,Sometimes,Every day,Extremely high stress,Excellent
Graduate student,Male,Often,7-8 hours,Often,Very good,Always,Sometimes,Sometimes,Moderate impact,Sometimes,Sometimes,Often,Low stress,Average
Second year,Male,Often,7-8 hours,Often,Very good,Sometimes,Rarely,Sometimes,Minor impact,Sometimes,Often,Rarely,High stress,Below Average
Third year,Male,Sometimes,7-8 hours,Often,Good,Sometimes,Often,Sometimes,Minor impact,Rarely,Rarely,Never,No stress,Good
Third year,Male,Often,More than 8 hours,Often,Good,Always,Sometimes,Often,Moderate impact,Often,Rarely,Rarely,Low stress,Good
Third year,Male,Often,More than 8 hours,Often,Average,Sometimes,Rarely,Rarely,Moderate impact,Rarely,Rarely,Sometimes,Extremely high stress,Average
Third year,Male,Often,More than 8 hours,Often,Very good,Always,Always,Always,Moderate impact,Often,Sometimes,Often,High stress,Below Average
Second year,Female,Often,7-8 hours,Often,Poor,Often,Sometimes,Always,Major impact,Sometimes,Often,Sometimes,High stress,Average
Third year,Male,Often,More than 8 hours,Often,Good,Often,Sometimes,Always,Major impact,Sometimes,Often,Sometimes,High stress,Average
Second year,Male,Often,7-8 hours,Often,Poor,Rarely,Sometimes,Sometimes,Minor impact,Never,Rarely,Sometimes,Low stress,Average
Second year,Female,Often,6-7 hours,Sometimes,Good,Often,Sometimes,Sometimes,Major impact,Sometimes,Often,Sometimes,High stress,Below Average
Second year,Male,Sometimes,More than 8 hours,Often,Average,Always,Sometimes,Often,Moderate impact,Often,Rarely,Rarely,High stress,Good
Graduate student,Male,Sometimes,4-5 hours,Sometimes,Good,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
First year,Male,Often,More than 8 hours,Sometimes,Average,Rarely,Never,Sometimes,Moderate impact,Sometimes,Rarely,Often,Low stress,Good
